"SystemReplicate","Species","Behaviour","HostGroup","N","NID","Area","NYears","Response","Estimate","SE","t","R2","LinearLower","LinearUpper","Sig"
"AcornWoodpeckers_GOG","Melanerpes formicivorus","Proximity","Bird",143,86,7.62775732173913,3,"Strength",0.146290217442966,0.0833091811360774,1.75599154196481,0.0214008277195105,-0.0184063260372796,0.310986760923211,0
"AfricanDogs_ProximityCollar","Canis lupus","Proximity","Carnivore",297,223,75.6352852098904,2,"Strength",-0.0603284001435728,0.0581162039930612,-1.03806504896252,0.00363951586388311,-0.174703304694667,0.0540465044075214,0
"BeakedWhales_Census","Hyperoodon ampullatus","Proximity","Cetacean",942,526,351.072291321316,15,"Strength",0.120433475535283,0.032379001896266,3.71949314315249,0.0145042220295076,0.0568899797808471,0.183976971289719,1
"ChagosSharks_GOG","Carcharhinus amblyrhynchos","Proximity","Shark",103,71,1.29074010782193,3,"Strength",0.37372452514199,0.0922936542076642,4.04929817060982,0.139670020692606,0.190638741914182,0.556810308369797,1
"DesertTortoises_DenSharing","Gopherus agassizii","Proximity","Ectotherm",6864,3544,1.05539389312506,4,"Strength",0.21835214718354,0.011780578817729,18.5349251986612,0.0476776601796624,0.195258563597794,0.241445730769286,1
"EuropeanBoar_ProximityCollar","Sus scrofa","Proximity","LargeHerbivore",46,46,1058.60672201452,1,"Strength",0.0453961229935934,0.150600252928765,0.301434573387244,0.00206080798284947,-0.258118743462069,0.348910989449255,0
"FalkirkMice_TrapProximity","Apodemus sylvaticus","Proximity","SmallMammal",168,168,0.0377755,1,"Strength",0.0502164355359453,0.0775171302328105,0.64781081788152,0.00252169039793559,-0.102830112355694,0.203262983427585,0
"FieldingCows_ProximityCollar","Bos taurus","Proximity","LargeHerbivore",365,365,0.00788626967676345,1,"Strength",-0.0267862506062831,0.0524675551530878,-0.510529803192225,0.000717503221542515,-0.129964780774992,0.0763922795624255,0
"GoldenCrownedSparrows_GOG","Zonotrichia atricapilla","Proximity","Bird",688,341,0.113428125,5,"Strength",0.412966420528064,0.0347724534820409,11.8762520091184,0.170541264483762,0.344693207855535,0.481239633200593,1
"KalahariMeerkats_GOG","Suricata suricatta","Proximity","Carnivore",6418,2734,2.37981730000007,22,"Strength",0.518543497933305,0.0106748054520334,48.5763886061766,0.268887359248909,0.497617316038494,0.539469679828117,1
"KenyanElephants_GOG","Loxodonta africana","Proximity","LargeHerbivore",215,151,11677.138635026,2,"Strength",0.465304305035352,0.0606495321098482,7.67201804941536,0.216508096284432,0.345754137670054,0.58485447240065,1
"KielderVoles_TrapProximity","Microtus agrestis","Proximity","SmallMammal",10029,9140,0.050075,6,"Strength",0.0140644009286081,0.00998553952292161,1.40847681753435,0.00019780737348063,-0.00550925964503579,0.0336380615022521,0
"LiverpoolMice_TrapProximity","Apodemus sylvaticus","Proximity","SmallMammal",4110,4054,0.0284,4,"Strength",0.105536681523513,0.0155150303170286,6.80222206254287,0.0111379911469954,0.0751188187306129,0.135954544316414,1
"MooreaSharks_GOG","Carcharhinus melanopterus","Proximity","Shark",269,105,11.7498766936997,3,"Strength",0.314046052914871,0.0581028107466532,5.40500621018512,0.0986249233514096,0.199648089903461,0.428444015926281,1
"MorayDolphins_Census","Tursiops truncatus","Proximity","Cetacean",2849,687,1894.7921951919,32,"Strength",0.309550578059812,0.0178210521015431,17.3699384467322,0.0958215603771641,0.274607102121735,0.344494053997888,1
"MountainLake_TrapProximity","Peromyscus leucopus","Proximity","SmallMammal",319,272,0.0245,2,"Strength",0.10221636735103,0.0558714109002062,1.82949321851926,0.010448185754441,-0.00770927357477684,0.212142008276838,0
"MultimammateMice_TrapProximity","Mastomys natalensis","Proximity","SmallMammal",21142,18631,0.000261,25,"Strength",-0.00708967653480149,0.00687759493123552,-1.03083659414176,5.02635133681206e-05,-0.0205702867280403,0.00639093365843731,0
"PalmyraSharks_GOG","Carcharhinus amblyrhynchos","Proximity","Shark",121,41,51.3875834715712,4,"Strength",0.43619355011606,0.0824893773062895,5.28787541329642,0.190264813162852,0.272856344302868,0.599530755929253,1
"PotomacDolphins_GOG","Tursiops truncatus","Proximity","Cetacean",925,861,227.787706026666,3,"Strength",0.326001836650427,0.0311172041279685,10.4765786575733,0.106277197499452,0.264933157415223,0.38707051588563,1
"PrairieDogs_GOG","Cynomys ludovicianus","Proximity","SmallMammal",49,49,3990.29694868176,1,"Strength",-0.0193157740472216,0.145837777908819,-0.132446985439522,0.000373099127043197,-0.312703540298717,0.274071992204274,0
"ReticulatedGiraffes_GOG","Giraffa camelopardalis","Proximity","LargeHerbivore",214,214,189.127119164626,1,"Strength",0.388638350851521,0.063281351102781,6.14143573231073,0.15103976775259,0.263897074980711,0.51337962672233,1
"RockHyraxes_GOG","Procavia capensis","Proximity","SmallMammal",399,196,0.0938250000000025,14,"Strength",-0.00440081854818119,0.0501880753144463,-0.0876865375013582,1.93672038940607e-05,-0.103068438007975,0.0942668009116129,0
"RumDeer_GOG","Cervus elaphus","Proximity","LargeHerbivore",6807,987,19.6333333333331,47,"Strength",0.678997765439707,0.00889948800653883,76.29627288006,0.461037965472114,0.661551986498951,0.696443544380464,1
"RumDeer_Dominance","Cervus elaphus","Direct","LargeHerbivore",2173,391,16.9160869565219,22,"Strength",0.0215634631809234,0.0214570046355455,1.00496148214469,0.000464982944355041,-0.0205149522376182,0.0636418785994649,0
"SerengetiLions_Census","Panthera leo","Proximity","Carnivore",1990,1990,3096.54952727273,30,"Strength",0.311221526469823,0.0213142290239221,14.6015849844028,0.0968588385382056,0.269420955824619,0.353022097115028,1
"SharkBayDolphins_Census","Tursiops aduncus","Proximity","Cetacean",4139,770,470.127194284986,12,"Strength",0.165535399777716,0.015332886916028,10.796101261575,0.0274019685795684,0.13547469880891,0.195596100746523,1
"SilwoodMice_CoTrapping","Apodemus sylvaticus","Proximity","SmallMammal",542,497,0.000204,2,"Strength",-0.0856380984102385,0.0428750578468604,-1.99738735551373,0.00733388389932166,-0.169860437521309,-0.00141575929916779,1
"SleepyLizards_GPSProximity","Tiliqua rugosa","Proximity","Ectotherm",546,199,1.67834106134508,9,"Strength",0.159177108548649,0.0423279964045251,3.76056326945898,0.0253373518859085,0.0760307720628762,0.242323445034422,1
"SoaySheep_GOG","Ovis aries","Proximity","LargeHerbivore",15683,5670,2.1452380952381,34,"Strength",0.129630075790344,0.00791832246047169,16.3709013414721,0.0168039565494106,0.114109250950107,0.145150900630582,1
"TayDolphins_Census","Tursiops truncatus","Proximity","Cetacean",1208,266,1468.99043010214,13,"Strength",0.357675178957355,0.026890670892701,13.3010879640954,0.127931533642175,0.304917484770628,0.410432873144081,1
"VulturineGuineafowl_GPSProximity","Acryllium vulturinum","Proximity","Bird",3681,49,7.12259910834527,5,"Strength",0.115277009529604,0.016376841184252,7.03902591669843,0.013288788926088,0.083168427193185,0.147385591866023,1
"WaterDragons_CensusProximity","Intellagama lesueurii","Proximity","Ectotherm",3685,1254,0.0544152777774622,11,"Strength",0.11790342948525,0.0163628651622211,7.20554916980355,0.0139012186843832,0.0858222601300646,0.149984598840435,1
"WildCrickets_Fight","Gryllus campestris","Direct","Ectotherm",1334,1334,0.000839123659313769,10,"Strength",0.171167051197239,0.0269954650927504,6.34058537643814,0.0292981594155587,0.118208790392592,0.224125312001886,1
"WildCrickets_Mate","Gryllus campestris","Direct","Ectotherm",1334,1334,0.000839123659313769,10,"Strength",0.115368670595205,0.0272168754763385,4.23886535746923,0.0133099301549051,0.0619760587320145,0.168761282458396,1
"WoodchesterBadgers_CoTrapping","Meles meles","Proximity","Carnivore",477,477,6.9009255,8,"Strength",0.239939877937818,0.0445427968061748,5.38672681425688,0.057571145024815,0.152414584051295,0.327465171824341,1
"WythamBadgers_CoTrapping","Meles meles","Proximity","Carnivore",4993,1585,5.3095,32,"Strength",0.308833723358644,0.0134629342024128,22.9395552793607,0.0953782686835642,0.282440456605341,0.335226990111947,1
"WythamMice_CoTrapping","Apodemus sylvaticus","Proximity","SmallMammal",274,274,0.00038,1,"Strength",0.184761562117929,0.0595899951248895,3.10054668960289,0.0341368348362572,0.0674453176511595,0.302077806584698,1
"WythamTits_GOG","Parus major","Proximity","Bird",2874,1966,12.2911672565001,3,"Strength",0.404775470766973,0.0170628530274107,23.7226136869795,0.163843181734626,0.371318793607174,0.438232147926772,1
"AcornWoodpeckers_HRO","Melanerpes formicivorus","Indirect","Bird",56,37,5.00638525144644,3,"Strength",0.537693132659888,0.114736904771258,4.68631373429363,0.289113904909605,0.307659488693187,0.76772677662659,1
"AfricanDogs_HRO","Canis lupus","Indirect","Carnivore",297,223,75.6352852098904,2,"Strength",0.579585152903641,0.0474459925093664,12.2156819206432,0.335918949466337,0.4862096312464,0.672960674560881,1
"BeakedWhales_HRO","Hyperoodon ampullatus","Indirect","Cetacean",136,109,184.108999706403,13,"Strength",0.104688857017835,0.0859121489513274,1.21855707598637,0.0109597567837008,-0.0652304041107172,0.274608118146387,0
"DesertTortoises_HRO","Gopherus agassizii","Indirect","Ectotherm",3181,1519,0.627186898938357,4,"Strength",0.22678354852556,0.0172738542399026,13.1287172727028,0.0514307778818449,0.192914521214218,0.260652575836903,1
"EuropeanBoar_HRO","Sus scrofa","Indirect","LargeHerbivore",46,46,1058.60672201452,1,"Strength",0.640667303233028,0.115753009637696,5.53477879528404,0.410454593431881,0.40738244096494,0.873952165501117,1
"FieldingCows_HRO","Bos taurus","Indirect","LargeHerbivore",365,365,0.00788626967676345,1,"Strength",0.529558604158991,0.0445228045310382,11.8940980860678,0.280432315238819,0.442003590072712,0.617113618245271,1
"GoldenCrownedSparrows_HRO","Zonotrichia atricapilla","Indirect","Bird",545,285,0.103413425925926,5,"Strength",0.694344560273577,0.0308828246955466,22.4831946921521,0.482114368381507,0.633680118389859,0.755009002157294,1
"KalahariMeerkats_HRO","Suricata suricatta","Indirect","Carnivore",2412,1357,2.11059191374106,19,"Strength",0.487141507655385,0.0177896089713175,27.3834859687367,0.237306848480762,0.452256995013261,0.52202602029751,1
"KenyanElephants_HRO","Loxodonta africana","Indirect","LargeHerbivore",77,55,10647.4372695617,2,"Strength",0.449652639660647,0.103138256959366,4.3597075703713,0.202187496353788,0.244190695811858,0.655114583509437,1
"KielderVoles_HRO","Microtus agrestis","Indirect","SmallMammal",545,544,0.0282518748316966,6,"Strength",0.101716164825966,0.043583569026465,2.33381907673053,0.0103461781869031,0.0160950360106447,0.187337293641287,1
"LiverpoolMice_HRO","Apodemus sylvaticus","Indirect","SmallMammal",243,243,0.0189077296108036,4,"Strength",0.176533347952539,0.0646221103222641,2.73177937198561,0.0311640229393323,0.0492121561897702,0.303854539715308,1
"MorayDolphins_HRO","Tursiops truncatus","Indirect","Cetacean",1061,224,744.775773810706,27,"Strength",0.164644893868571,0.0303098892310153,5.43205198190214,0.027107941076993,0.105170628916971,0.224119158820171,1
"MultimammateMice_HRO","Mastomys natalensis","Indirect","SmallMammal",323,321,0.000234788798701299,20,"Strength",0.508603346125938,0.0480563868022831,10.5834703765489,0.258677363690502,0.414058089826077,0.603148602425799,1
"PalmyraSharks_HRO","Carcharhinus amblyrhynchos","Indirect","Shark",88,36,48.6558454492052,4,"Strength",0.334431319890035,0.101623775617019,3.29087674473322,0.111844307723391,0.132409940173804,0.536452699606267,1
"ReticulatedGiraffes_HRO","Giraffa camelopardalis","Indirect","LargeHerbivore",204,204,134.623199881823,1,"Strength",0.552321053344143,0.0586541066583169,9.41657941466279,0.305058545967185,0.436668212317252,0.667973894371034,1
"RumDeer_HRO","Cervus elaphus","Indirect","LargeHerbivore",8251,889,17.7771428571429,47,"Strength",0.626273651468201,0.00858367014016285,72.9610575944521,0.392218686523308,0.609447498265591,0.643099804670811,1
"SerengetiLions_HRO","Panthera leo","Indirect","Carnivore",1478,1478,2778.9312567013,30,"Strength",0.541279205347402,0.021886267084544,24.7314538955641,0.292983178141514,0.498347705471724,0.58421070522308,1
"SharkBayDolphins_HRO","Tursiops aduncus","Indirect","Cetacean",1257,328,306.226191158722,12,"Strength",0.574868187568395,0.0230973440966744,24.8889303100076,0.330473433078172,0.529554523686926,0.620181851449863,1
"SilwoodMice_HRO","Apodemus sylvaticus","Indirect","SmallMammal",93,92,0.000176650312650313,2,"Strength",0.525821086278448,0.0891666044779117,5.89706302440511,0.276487814775048,0.348702580206444,0.702939592350453,1
"SleepyLizards_HRO","Tiliqua rugosa","Indirect","Ectotherm",546,199,1.67834106134508,9,"Strength",0.770599311074265,0.0273248668586939,28.201393077569,0.593823298228131,0.716924137022819,0.824274485125712,1
"SoaySheep_HRO","Ovis aries","Indirect","LargeHerbivore",13807,5006,1.77559523809524,34,"Strength",0.431389979464303,0.00767835231111014,56.1826238215334,0.186097314382212,0.41633936590099,0.446440593027616,1
"TayDolphins_HRO","Tursiops truncatus","Indirect","Cetacean",201,94,266.297704362715,13,"Strength",0.406253791637527,0.0647747491274438,6.27179259063167,0.165042143219867,0.278520801193399,0.533986782081655,1
"VulturineGuineafowl_HRO","Acryllium vulturinum","Indirect","Bird",3681,49,7.12259910834527,5,"Strength",0.410243465824112,0.0150355228442498,27.2849484566482,0.168299701251371,0.380764684306713,0.439722247341511,1
"WaterDragons_HRO","Intellagama lesueurii","Indirect","Ectotherm",2376,796,0.0497761406961271,11,"Strength",0.407114904892658,0.0187460465274783,21.7173740764967,0.165742545785758,0.370354587059039,0.443875222726278,1
"WildCrickets_HRO","Gryllus campestris","Indirect","Ectotherm",1112,556,0.000536979526206979,10,"Strength",0.370660706478765,0.0278769923648285,13.296294723186,0.137389359327337,0.315963163347111,0.42535824961042,1
"WythamTits_HRO","Parus major","Indirect","Bird",1070,857,9.52090520505149,3,"Strength",0.441220313164456,0.0274599578284989,16.0677709674609,0.194675364748941,0.387338721975537,0.495101904353376,1
