"SystemReplicate","Species","Behaviour","HostGroup","N","NID","Area","NYears","Response","Estimate","SE","t","R2","LinearLower","LinearUpper","Portion","Sig"
"AcornWoodpeckers_GOG","Melanerpes formicivorus","Proximity","Bird",143,86,7.62775732173913,3,"Strength",0.225949459267991,0.326291807596879,0.692476654354566,0.0068037337680088,-0.424819031070129,0.87671794960611,"First",0
"AcornWoodpeckers_GOG","Melanerpes formicivorus","Proximity","Bird",143,86,7.62775732173913,3,"Strength",0.251527335356068,0.205846913299949,1.22191453504846,0.0208841923253076,-0.159021387872896,0.662076058585032,"Last",0
"AfricanDogs_ProximityCollar","Canis lupus","Proximity","Carnivore",297,223,75.6352852098904,2,"Strength",-2.78050158827097,3.05320268605997,-0.910683591680932,0.00564835732525226,-8.81468544945973,3.2536822729178,"First",0
"AfricanDogs_ProximityCollar","Canis lupus","Proximity","Carnivore",297,223,75.6352852098904,2,"Strength",0.0299974633334393,0.0612525635048601,0.489734006496872,0.00161791457745009,-0.0910451052000188,0.151040031866897,"Last",0
"BeakedWhales_Census","Hyperoodon ampullatus","Proximity","Cetacean",942,526,351.072291321316,15,"Strength",0.838224523987772,0.225220164269875,3.72180051775182,0.0286874753701454,0.395659021019907,1.28079002695564,"First",1
"BeakedWhales_Census","Hyperoodon ampullatus","Proximity","Cetacean",942,526,351.072291321316,15,"Strength",0.0743970239748668,0.0465768501269568,1.59729616262326,0.00539910637006413,-0.0171276123827832,0.165921660332517,"Last",0
"ChagosSharks_GOG","Carcharhinus amblyrhynchos","Proximity","Shark",103,71,1.29074010782193,3,"Strength",-0.26514061325428,0.284329148298931,-0.932512951417571,0.0170943105416991,-0.836232514905946,0.305951288397386,"First",0
"ChagosSharks_GOG","Carcharhinus amblyrhynchos","Proximity","Shark",103,71,1.29074010782193,3,"Strength",0.672804775999677,0.184840420507829,3.63992234031506,0.209474100564491,0.301541865104141,1.04406768689521,"Last",1
"DesertTortoises_DenSharing","Gopherus agassizii","Proximity","Ectotherm",6864,3544,1.05539389312506,4,"Strength",3.08771436814462,0.108761482059822,28.3897783449316,0.190269927349818,2.87447053222235,3.30095820406689,"First",1
"DesertTortoises_DenSharing","Gopherus agassizii","Proximity","Ectotherm",6864,3544,1.05539389312506,4,"Strength",-0.285867699248316,0.0155331362119902,-18.4037334989473,0.0898473723907586,-0.31632283047885,-0.255412568017781,"Last",1
"EuropeanBoar_ProximityCollar","Sus scrofa","Proximity","LargeHerbivore",46,46,1058.60672201452,1,"Strength",0.0717241628066076,0.232821884343328,0.308064523268098,0.00449889469129072,-0.412455451229365,0.55590377684258,"First",0
"EuropeanBoar_ProximityCollar","Sus scrofa","Proximity","LargeHerbivore",46,46,1058.60672201452,1,"Strength",-1.00379252999412,1.02698942100635,-0.977412726423707,0.041617149618276,-3.13363823124155,1.1260531712533,"Last",0
"FalkirkMice_TrapProximity","Apodemus sylvaticus","Proximity","SmallMammal",168,168,0.0377755,1,"Strength",0.00678788388852217,0.185806379730763,0.0365320281163539,1.62752116779075e-05,-0.362840195344249,0.376415963121294,"First",0
"FalkirkMice_TrapProximity","Apodemus sylvaticus","Proximity","SmallMammal",168,168,0.0377755,1,"Strength",-0.12600687710939,0.270014727476573,-0.46666668254354,0.00261696236516862,-0.663055310115251,0.411041555896471,"Last",0
"FieldingCows_ProximityCollar","Bos taurus","Proximity","LargeHerbivore",365,365,0.00788626967676345,1,"Strength",0.228384658101249,0.502082004510973,0.45487521171705,0.00114818824960883,-0.762339028909347,1.21910834511185,"First",0
"FieldingCows_ProximityCollar","Bos taurus","Proximity","LargeHerbivore",365,365,0.00788626967676345,1,"Strength",0.0638215343276819,0.0767146590887529,0.83193401477344,0.00378841860771639,-0.0875429380185883,0.215186006673952,"Last",0
"GoldenCrownedSparrows_GOG","Zonotrichia atricapilla","Proximity","Bird",688,341,0.113428125,5,"Strength",0.636070582021701,0.085339137279129,7.45344518706848,0.139739172022714,0.468214929683344,0.803926234360058,"First",1
"GoldenCrownedSparrows_GOG","Zonotrichia atricapilla","Proximity","Bird",688,341,0.113428125,5,"Strength",0.288283436725658,0.121746836975216,2.36789261953757,0.016083775763024,0.0488190618215197,0.527747811629796,"Last",1
"KalahariMeerkats_GOG","Suricata suricatta","Proximity","Carnivore",6418,2734,2.37981730000007,22,"Strength",0.816661724143611,0.0335299175611124,24.3562103203846,0.156102595006899,0.750919481477329,0.882403966809892,"First",1
"KalahariMeerkats_GOG","Suricata suricatta","Proximity","Carnivore",6418,2734,2.37981730000007,22,"Strength",0.421880581672747,0.0221430406481413,19.052513535812,0.101651763562941,0.378464638949944,0.46529652439555,"Last",1
"KenyanElephants_GOG","Loxodonta africana","Proximity","LargeHerbivore",215,151,11677.138635026,2,"Strength",0.639838386865282,0.241125647135178,2.65354761912399,0.062289747505297,0.161783339113644,1.11789343461692,"First",1
"KenyanElephants_GOG","Loxodonta africana","Proximity","LargeHerbivore",215,151,11677.138635026,2,"Strength",0.0741004953534291,0.324833594844542,0.228118324365101,0.00049068335608915,-0.569913700314804,0.718114691021663,"Last",0
"KielderVoles_TrapProximity","Microtus agrestis","Proximity","SmallMammal",10029,9140,0.050075,6,"Strength",0.172817829322886,0.0503499190857242,3.43233579042405,0.00234503238592088,0.0741099640948136,0.271525694550959,"First",1
"KielderVoles_TrapProximity","Microtus agrestis","Proximity","SmallMammal",10029,9140,0.050075,6,"Strength",-0.0288726606841243,0.016490784770837,-1.75083606301041,0.00061099998877634,-0.0612018090400083,0.00345648767175976,"Last",0
"LiverpoolMice_TrapProximity","Apodemus sylvaticus","Proximity","SmallMammal",4110,4054,0.0284,4,"Strength",0.265770441925707,0.0742768785562022,3.57810461467642,0.0061975094773431,0.120104557300321,0.411436326551093,"First",1
"LiverpoolMice_TrapProximity","Apodemus sylvaticus","Proximity","SmallMammal",4110,4054,0.0284,4,"Strength",-0.0192037421323443,0.0195796387094329,-0.980801659179365,0.00046812150677511,-0.0576017554790902,0.0191942712144015,"Last",0
"MooreaSharks_GOG","Carcharhinus melanopterus","Proximity","Shark",269,105,11.7498766936997,3,"Strength",0.0948957665200773,0.170755398468386,0.555740945066792,0.00233429587436462,-0.242875289442528,0.432666822482683,"First",0
"MooreaSharks_GOG","Carcharhinus melanopterus","Proximity","Shark",269,105,11.7498766936997,3,"Strength",0.31416851629554,0.126519687393759,2.48315912540768,0.0439912372197081,0.0639346196630332,0.564402412928046,"Last",1
"MorayDolphins_Census","Tursiops truncatus","Proximity","Cetacean",2849,687,1894.7921951919,32,"Strength",0.832485123042761,0.098707015545576,8.43390024955599,0.0476386124039382,0.638858120337121,1.0261121257484,"First",1
"MorayDolphins_Census","Tursiops truncatus","Proximity","Cetacean",2849,687,1894.7921951919,32,"Strength",0.241082040697314,0.0269161506934252,8.9567800181845,0.0533324246821248,0.188282477071323,0.293881604323304,"Last",1
"MountainLake_TrapProximity","Peromyscus leucopus","Proximity","SmallMammal",319,272,0.0245,2,"Strength",-0.0100314874834792,0.201834473287648,-0.0497015565283671,1.56342158292855e-05,-0.408673155673931,0.388610180706972,"First",0
"MountainLake_TrapProximity","Peromyscus leucopus","Proximity","SmallMammal",319,272,0.0245,2,"Strength",-0.0923201330880552,0.0922986831118978,-1.00023239742361,0.0062922133580352,-0.274618530424129,0.0899782642480186,"Last",0
"MultimammateMice_TrapProximity","Mastomys natalensis","Proximity","SmallMammal",21142,18631,0.000261,25,"Strength",-0.0545080440082727,0.0213261603712833,-2.55592394783218,0.000617722755273498,-0.0963113375795324,-0.012704750437013,"First",1
"MultimammateMice_TrapProximity","Mastomys natalensis","Proximity","SmallMammal",21142,18631,0.000261,25,"Strength",0.0154194722001588,0.0125748613977295,1.22621408796942,0.00014223151656434,-0.0092296257987027,0.0400685701990203,"Last",0
"PalmyraSharks_GOG","Carcharhinus amblyrhynchos","Proximity","Shark",121,41,51.3875834715712,4,"Strength",0.63436689466326,0.162168970973775,3.91176493785514,0.20875180452469,0.309750430079214,0.958983359247305,"First",1
"PalmyraSharks_GOG","Carcharhinus amblyrhynchos","Proximity","Shark",121,41,51.3875834715712,4,"Strength",0.118619329652971,0.213777094919994,0.554873896557366,0.00510522033513572,-0.308998527712028,0.54623718701797,"Last",0
"PotomacDolphins_GOG","Tursiops truncatus","Proximity","Cetacean",925,861,227.787706026666,3,"Strength",0.318464194483382,0.0485317929302913,6.56197051983652,0.0855951647369,0.223092695739808,0.413835693226957,"First",1
"PotomacDolphins_GOG","Tursiops truncatus","Proximity","Cetacean",925,861,227.787706026666,3,"Strength",-1.063040602783,0.0531792983281518,-19.9897448105338,0.463782013586574,-1.16754388115924,-0.958537324406767,"Last",1
"PrairieDogs_GOG","Cynomys ludovicianus","Proximity","SmallMammal",49,49,3990.29694868176,1,"Strength",-0.26683327187302,0.353382416440455,-0.755083613273047,0.02526129561069,-0.999703547999725,0.466037004253686,"First",0
"PrairieDogs_GOG","Cynomys ludovicianus","Proximity","SmallMammal",49,49,3990.29694868176,1,"Strength",0.367067114444489,0.537985494368936,0.682299278115414,0.0190280881329223,-0.7432803735603,1.47741460244928,"Last",0
"ReticulatedGiraffes_GOG","Giraffa camelopardalis","Proximity","LargeHerbivore",214,214,189.127119164626,1,"Strength",0.571523334119617,0.174559547530751,3.27408808171284,0.0926346779523717,0.225403997088892,0.917642671150342,"First",1
"ReticulatedGiraffes_GOG","Giraffa camelopardalis","Proximity","LargeHerbivore",214,214,189.127119164626,1,"Strength",0.202273283855191,0.168714232625107,1.19891061179559,0.0133788311483297,-0.132219091768215,0.536765659478597,"Last",0
"RockHyraxes_GOG","Procavia capensis","Proximity","SmallMammal",399,196,0.0938250000000025,14,"Strength",1.14439328272938,0.654080150211713,1.74962240080052,0.0152251099268875,-0.145464205393915,2.43425077085268,"First",0
"RockHyraxes_GOG","Procavia capensis","Proximity","SmallMammal",399,196,0.0938250000000025,14,"Strength",0.122410418227393,0.0501442608429195,2.44116507392247,0.0292180219306744,0.0235250594319729,0.221295777022813,"Last",1
"RumDeer_GOG","Cervus elaphus","Proximity","LargeHerbivore",6807,987,19.6333333333331,47,"Strength",0.60597316737722,0.0215738883288615,28.0882684725196,0.188251033853799,0.563674074152001,0.648272260602438,"First",1
"RumDeer_GOG","Cervus elaphus","Proximity","LargeHerbivore",6807,987,19.6333333333331,47,"Strength",0.561351493823625,0.0204107570198946,27.502727766367,0.181896890221939,0.521332907427829,0.601370080219421,"Last",1
"RumDeer_Dominance","Cervus elaphus","Direct","LargeHerbivore",2173,391,16.9160869565219,22,"Strength",-0.0964600823355409,0.05182620727001,-1.86122210010453,0.00318552819715989,-0.198151125284873,0.00523096061379083,"First",0
"RumDeer_Dominance","Cervus elaphus","Direct","LargeHerbivore",2173,391,16.9160869565219,22,"Strength",0.0314679633897084,0.0491842026692533,0.639798180755711,0.000376784050340806,-0.0650388588082388,0.127974785587656,"Last",0
"SerengetiLions_Census","Panthera leo","Proximity","Carnivore",1990,1990,3096.54952727273,30,"Strength",0.696404738061315,0.0736405846671798,9.45680620555541,0.0826206644483554,0.55189570640074,0.84091376972189,"First",1
"SerengetiLions_Census","Panthera leo","Proximity","Carnivore",1990,1990,3096.54952727273,30,"Strength",0.228878284560479,0.0367700836613955,6.22457883610355,0.0375168772225176,0.156722384597197,0.301034184523762,"Last",1
"SharkBayDolphins_Census","Tursiops aduncus","Proximity","Cetacean",4139,770,470.127194284986,12,"Strength",0.207172677262454,0.0477689970433662,4.33696937522837,0.00901342702055652,0.113492334542138,0.300853019982769,"First",1
"SharkBayDolphins_Census","Tursiops aduncus","Proximity","Cetacean",4139,770,470.127194284986,12,"Strength",0.166228323560931,0.0306403305303684,5.4251478585121,0.0140325054968415,0.106139210479013,0.22631743664285,"Last",1
"SilwoodMice_CoTrapping","Apodemus sylvaticus","Proximity","SmallMammal",542,497,0.000204,2,"Strength",0.0759280096527413,0.126939403016316,0.598143742987209,0.00132825546257131,-0.173993076385485,0.325849095690967,"First",0
"SilwoodMice_CoTrapping","Apodemus sylvaticus","Proximity","SmallMammal",542,497,0.000204,2,"Strength",0.209655660697644,0.105319121962321,1.99067041949562,0.0144646250203387,0.0023045295890029,0.417006791806284,"Last",1
"SleepyLizards_GPSProximity","Tiliqua rugosa","Proximity","Ectotherm",546,199,1.67834106134508,9,"Strength",0.296560195099147,0.0985523497002703,3.00916412445856,0.0323331720759725,0.102534634384624,0.490585755813671,"First",1
"SleepyLizards_GPSProximity","Tiliqua rugosa","Proximity","Ectotherm",546,199,1.67834106134508,9,"Strength",0.0850909620738513,0.113045173664405,0.752716452331339,0.0020786923082543,-0.137463767148848,0.307645691296551,"Last",0
"SoaySheep_GOG","Ovis aries","Proximity","LargeHerbivore",15683,5670,2.1452380952381,34,"Strength",0.858869076638585,0.0243550899101722,35.264459289878,0.136904370635059,0.811126606956013,0.906611546321158,"First",1
"SoaySheep_GOG","Ovis aries","Proximity","LargeHerbivore",15683,5670,2.1452380952381,34,"Strength",-0.231111684074909,0.0158414786605946,-14.589022213551,0.0264303749404032,-0.262165205842639,-0.200058162307179,"Last",1
"TayDolphins_Census","Tursiops truncatus","Proximity","Cetacean",1208,266,1468.99043010214,13,"Strength",0.805789932677108,0.161618189261898,4.98576265677217,0.0396546523134682,0.488385961157689,1.12319390419653,"First",1
"TayDolphins_Census","Tursiops truncatus","Proximity","Cetacean",1208,266,1468.99043010214,13,"Strength",0.2896166207538,0.0414560943831993,6.98610481915469,0.0748776261063256,0.208200753503339,0.371032488004262,"Last",1
"VulturineGuineafowl_GPSProximity","Acryllium vulturinum","Proximity","Bird",3681,49,7.12259910834527,5,"Strength",0.873083968912574,0.0556972346022621,15.6755353321817,0.117924732686521,0.763847461147202,0.982320476677947,"First",1
"VulturineGuineafowl_GPSProximity","Acryllium vulturinum","Proximity","Bird",3681,49,7.12259910834527,5,"Strength",0.293217449915493,0.0327414182650137,8.9555512697144,0.0417674300839296,0.22900320921898,0.357431690612007,"Last",1
